,transaction_id,user_id,transaction_type,amount,location,device_type,network_provider,user_type,time_of_day,is_foreign_number,is_sim_recently_swapped,has_multiple_accounts,datetime
0,TX100000,user_8270,Withdraw Cash,2646.35,Nakuru,Feature Phone,Telkom Kenya,individual,night,0,0,0,2024-06-16 21:45:13
1,TX100001,user_1860,Send Money,2844.69,Garissa,iOS,Safaricom,agent,night,0,0,0,2024-06-05 00:49:25
2,TX100002,user_6390,Deposit Cash,2384.46,Nyeri,Feature Phone,Telkom Kenya,agent,afternoon,0,0,1,2024-06-13 15:54:02
3,TX100003,user_6191,Withdraw Cash,1846.01,Nairobi,iOS,Safaricom,individual,night,0,0,1,2024-06-10 01:05:49
4,TX100004,user_6734,Send Money,1017.6,Machakos,Feature Phone,Telkom Kenya,individual,morning,0,0,0,2024-06-27 02:28:53
5,TX100005,user_7265,Withdraw Cash,1791.94,Meru,Feature Phone,Telkom Kenya,individual,night,0,0,1,2024-06-24 10:34:36
6,TX100006,user_1466,Lipa na M-Pesa,522.84,Meru,Feature Phone,Telkom Kenya,individual,evening,0,0,1,2024-06-04 12:33:26
7,TX100007,user_5426,Buy Airtime,428.61,Nyeri,iOS,Safaricom,individual,night,0,0,0,2024-06-07 00:58:59
8,TX100008,user_6578,Withdraw Cash,1248.08,Nyeri,iOS,Safaricom,individual,afternoon,0,0,0,2024-06-07 11:06:54
9,TX100009,user_9322,Lipa na M-Pesa,18797.2,Meru,Feature Phone,Telkom Kenya,individual,evening,0,0,0,2024-06-24 11:53:58
10,TX100010,user_2685,Pay Bill,1383.42,Garissa,iOS,Safaricom,individual,afternoon,0,0,0,2024-06-10 21:31:08
11,TX100011,user_1769,Send Money,9646.1,Meru,Feature Phone,Telkom Kenya,individual,night,0,0,0,2024-06-27 23:33:18
12,TX100012,user_7949,Pay Bill,1743.04,Kisumu,iOS,Airtel,individual,afternoon,0,0,0,2024-06-24 19:49:50
13,TX100013,user_3433,Deposit Cash,2023.18,Nakuru,Feature Phone,Airtel,individual,night,0,0,0,2024-06-13 11:43:59
14,TX100014,user_6311,Lipa na M-Pesa,5582.01,Mombasa,Android,Airtel,individual,morning,0,0,0,2024-06-23 06:58:02
15,TX100015,user_6051,Pay Bill,344.11,Meru,Android,Safaricom,individual,evening,0,1,0,2024-06-14 11:54:45
16,TX100016,user_7420,Pay Bill,704.47,Kisumu,Feature Phone,Airtel,individual,evening,0,0,0,2024-06-16 22:30:45
17,TX100017,user_2184,Lipa na M-Pesa,12752.37,Meru,iOS,Telkom Kenya,individual,morning,0,0,0,2024-06-27 23:27:43
18,TX100018,user_5555,Buy Airtime,2467.68,Garissa,Feature Phone,Telkom Kenya,individual,evening,0,0,0,2024-06-28 16:02:31
19,TX100019,user_4385,Withdraw Cash,158.62,Nairobi,Android,Safaricom,individual,afternoon,0,1,0,2024-06-16 06:53:16
20,TX100020,user_7396,Deposit Cash,169.89,Kisumu,Android,Telkom Kenya,agent,afternoon,0,0,1,2024-06-11 17:11:11
21,TX100021,user_9666,Deposit Cash,8322.11,Nakuru,Feature Phone,Airtel,individual,night,0,0,0,2024-06-25 17:20:46
22,TX100022,user_3558,Send Money,7232.56,Eldoret,Android,Telkom Kenya,individual,evening,0,0,0,2024-06-12 02:34:27
23,TX100023,user_8849,Withdraw Cash,2146.29,Kisumu,Feature Phone,Safaricom,individual,evening,0,0,0,2024-06-05 01:35:12
24,TX100024,user_3047,Send Money,623.69,Thika,Android,Telkom Kenya,agent,evening,0,0,0,2024-06-01 19:48:01
25,TX100025,user_3747,Deposit Cash,6207.71,Thika,iOS,Telkom Kenya,agent,morning,0,0,0,2024-06-28 05:18:38
26,TX100026,user_1189,Withdraw Cash,1373.58,Eldoret,iOS,Airtel,individual,night,0,0,1,2024-06-03 14:52:05
27,TX100027,user_3734,Pay Bill,1900.87,Nyeri,iOS,Safaricom,individual,evening,0,0,0,2024-06-16 03:14:12
28,TX100028,user_4005,Buy Airtime,4015.21,Thika,Feature Phone,Airtel,individual,evening,0,0,0,2024-06-21 20:24:38
29,TX100029,user_5658,Pay Bill,1526.09,Nyeri,Feature Phone,Telkom Kenya,individual,afternoon,0,0,0,2024-06-04 22:44:13
30,TX100030,user_2899,Buy Airtime,3467.32,Meru,iOS,Safaricom,individual,morning,0,0,0,2024-06-10 18:14:27
31,TX100031,user_8734,Lipa na M-Pesa,7578.5,Meru,iOS,Telkom Kenya,individual,evening,0,0,0,2024-06-12 07:41:30
32,TX100032,user_2267,Send Money,5587.36,Mombasa,iOS,Telkom Kenya,individual,evening,0,0,0,2024-06-21 07:35:33
33,TX100033,user_2528,Send Money,1682.23,Thika,Android,Airtel,agent,morning,0,0,0,2024-06-17 03:47:16
34,TX100034,user_4556,Lipa na M-Pesa,1188.56,Eldoret,iOS,Telkom Kenya,individual,afternoon,0,0,0,2024-06-07 16:49:09
35,TX100035,user_4890,Withdraw Cash,1176.65,Mombasa,Android,Safaricom,individual,morning,0,0,0,2024-06-22 21:54:04
36,TX100036,user_9838,Lipa na M-Pesa,1500.16,Nakuru,iOS,Safaricom,individual,night,0,0,0,2024-06-03 05:36:19
37,TX100037,user_6393,Deposit Cash,2380.93,Kisumu,Feature Phone,Airtel,individual,afternoon,0,0,0,2024-06-14 02:00:38
38,TX100038,user_9792,Lipa na M-Pesa,1886.07,Thika,iOS,Airtel,individual,evening,0,0,1,2024-06-11 00:10:16
39,TX100039,user_9433,Buy Airtime,499.52,Machakos,Android,Safaricom,individual,evening,0,0,0,2024-06-02 03:25:40
40,TX100040,user_8513,Deposit Cash,624.67,Eldoret,iOS,Airtel,individual,night,0,0,0,2024-06-17 08:36:37
41,TX100041,user_3612,Lipa na M-Pesa,1469.87,Eldoret,Android,Telkom Kenya,agent,morning,0,0,0,2024-06-14 10:48:01
42,TX100042,user_8041,Send Money,2889.89,Nakuru,iOS,Safaricom,individual,evening,0,0,0,2024-06-25 06:21:03
43,TX100043,user_7235,Pay Bill,3143.41,Thika,Android,Airtel,agent,morning,0,0,0,2024-06-01 19:42:45
44,TX100044,user_6486,Buy Airtime,2330.77,Garissa,Android,Safaricom,agent,morning,0,1,0,2024-06-05 15:00:37
45,TX100045,user_8099,Buy Airtime,4698.32,Thika,iOS,Telkom Kenya,individual,morning,0,0,0,2024-06-06 06:52:11
46,TX100046,user_1775,Withdraw Cash,4677.92,Garissa,iOS,Airtel,individual,evening,0,0,0,2024-06-01 12:50:29
47,TX100047,user_9226,Pay Bill,1952.88,Nyeri,Feature Phone,Safaricom,individual,afternoon,0,0,0,2024-06-14 11:15:48
48,TX100048,user_4152,Buy Airtime,465.12,Eldoret,Feature Phone,Telkom Kenya,individual,evening,0,0,0,2024-06-07 02:26:31
49,TX100049,user_2585,Lipa na M-Pesa,2643.88,Meru,Feature Phone,Airtel,individual,afternoon,0,0,0,2024-06-24 14:11:56
50,TX100050,user_4943,Buy Airtime,1681.43,Nairobi,Android,Safaricom,individual,afternoon,0,0,0,2024-06-12 15:30:38
51,TX100051,user_8555,Buy Airtime,519.44,Nyeri,Android,Telkom Kenya,individual,afternoon,0,1,1,2024-06-19 23:54:30
52,TX100052,user_4073,Buy Airtime,14025.48,Garissa,Feature Phone,Telkom Kenya,individual,evening,0,0,0,2024-06-23 14:39:07
53,TX100053,user_2021,Withdraw Cash,1615.77,Eldoret,Feature Phone,Telkom Kenya,individual,night,1,0,0,2024-06-02 00:24:02
54,TX100054,user_4843,Buy Airtime,3440.36,Meru,iOS,Telkom Kenya,individual,night,0,0,0,2024-06-25 22:18:16
55,TX100055,user_8989,Buy Airtime,2357.59,Machakos,Feature Phone,Telkom Kenya,individual,afternoon,0,0,0,2024-06-24 01:52:22
56,TX100056,user_7873,Withdraw Cash,539.41,Garissa,Android,Airtel,individual,evening,0,0,0,2024-06-13 15:11:35
57,TX100057,user_6675,Deposit Cash,200.01,Mombasa,iOS,Telkom Kenya,agent,night,0,0,0,2024-06-29 04:12:13
58,TX100058,user_1161,Pay Bill,3440.09,Nairobi,Feature Phone,Airtel,individual,night,0,0,0,2024-06-23 23:05:33
59,TX100059,user_5297,Deposit Cash,993.02,Nyeri,Feature Phone,Airtel,individual,evening,0,1,0,2024-06-15 22:23:48
60,TX100060,user_1995,Send Money,977.4,Garissa,Feature Phone,Safaricom,individual,morning,0,0,0,2024-06-02 20:20:02
61,TX100061,user_8629,Withdraw Cash,11011.01,Meru,iOS,Safaricom,individual,night,0,0,1,2024-06-19 15:21:00
62,TX100062,user_2016,Withdraw Cash,2168.16,Nairobi,iOS,Airtel,individual,night,0,0,0,2024-06-01 12:54:00
63,TX100063,user_8869,Buy Airtime,104.54,Eldoret,iOS,Telkom Kenya,individual,evening,0,0,0,2024-06-08 15:27:43
64,TX100064,user_7439,Buy Airtime,1453.47,Nakuru,Feature Phone,Telkom Kenya,individual,evening,0,0,0,2024-06-01 10:45:40
65,TX100065,user_8892,Send Money,3073.88,Nakuru,iOS,Airtel,individual,evening,0,0,1,2024-06-02 02:28:34
66,TX100066,user_7863,Buy Airtime,1394.2,Nakuru,iOS,Telkom Kenya,individual,night,0,0,0,2024-06-27 18:50:09
67,TX100067,user_8916,Lipa na M-Pesa,95.27,Kisumu,iOS,Airtel,individual,evening,0,0,0,2024-06-17 12:43:11
68,TX100068,user_9529,Buy Airtime,2056.41,Nakuru,iOS,Safaricom,individual,afternoon,0,0,1,2024-06-10 14:22:34
69,TX100069,user_1878,Buy Airtime,391.81,Eldoret,Android,Telkom Kenya,individual,afternoon,0,0,0,2024-06-02 12:50:34
70,TX100070,user_5887,Lipa na M-Pesa,3378.82,Nakuru,Feature Phone,Telkom Kenya,individual,evening,0,0,0,2024-06-25 22:28:59
71,TX100071,user_5859,Send Money,3382.74,Garissa,iOS,Telkom Kenya,individual,night,0,0,0,2024-06-03 12:07:34
72,TX100072,user_7331,Lipa na M-Pesa,134.72,Nakuru,Android,Safaricom,individual,night,0,0,0,2024-06-12 01:07:45
