transaction_id,user_id,transaction_type,amount,device_id,location,timestamp,channel,agent_id,sim_swap_flag,balance_before,balance_after,transaction_velocity
T000000,U0874,receive,5157.6,D082,Yaba,2024-03-25 16:38:00,USSD,A035,0,77090.73,71933.12999999999,0
T000001,U0460,receive,2501.95,D196,Ajah,2024-04-11 23:47:00,USSD,A069,0,25595.31,23093.36,1
T000002,U0253,send,3727.93,D180,Ikeja,2024-04-01 14:52:00,USSD,A194,0,68411.2,64683.27,4
T000003,U0526,receive,4044.79,D096,Owerri,2024-03-13 00:14:00,USSD,A297,0,13859.25,9814.46,0
T000004,U0752,receive,2523.75,D175,Yaba,2024-06-28 23:38:00,Agent,A050,0,2497.58,481.9750502924819,2
T000005,U0438,receive,3117.12,D198,Portharcout,2024-03-24 05:59:00,App,A045,0,2804.07,673.8736773914758,0
T000006,U0754,cash_out,1168.13,D026,Portharcout,2024-03-17 13:48:00,USSD,A276,0,49776.28,48608.15,0
T000007,U0981,receive,4677.96,D198,Ajah,2024-05-24 08:52:00,USSD,A120,0,77302.53,72624.56999999999,2
T000008,U0854,send,7113.96,D099,Ajah,2024-02-08 02:46:00,App,A292,0,58185.09,51071.13,7
T000009,U0661,send,2808.32,D171,Yaba,2024-04-05 08:57:00,App,A200,0,4595.98,1787.6599999999994,0
T000010,U0236,receive,19011.38,D197,Ajah,2024-05-28 05:38:00,USSD,A091,0,55655.68,36644.3,1
T000011,U0306,receive,294.65,D191,Kano,2024-04-26 20:26:00,USSD,A152,0,12212.13,11917.48,0
T000012,U0478,cash_out,4447.77,D066,Owerri,2024-03-01 18:18:00,USSD,A164,0,96574.45,92126.68,1
T000013,U0679,receive,4380.55,D104,Kano,2024-03-19 06:47:00,USSD,A133,0,35904.74,31524.19,1
T000014,U0020,receive,184.86,D191,Ikeja,2024-03-28 17:24:00,USSD,A212,0,50838.07,50653.21,3
T000015,U0216,receive,1271.69,D141,Ajah,2024-05-01 16:03:00,App,A181,0,34535.14,33263.45,0
T000016,U0855,receive,11798.03,D179,Owerri,2024-05-12 20:55:00,Agent,A256,0,47242.25,35444.22,0
T000017,U0135,receive,3931.95,D005,Ajah,2024-01-12 03:03:00,USSD,A098,0,95887.63,91955.68000000001,1
T000018,U0905,receive,2866.93,D175,Yaba,2024-01-29 12:50:00,App,A124,0,26792.14,23925.21,2
T000019,U0129,receive,2684.96,D164,Kano,2024-02-16 16:21:00,Web,A178,0,72090.09,69405.12999999999,1
T000020,U0410,send,10953.47,D164,Aba,2024-02-15 00:20:00,App,A241,0,75773.44,64819.97,0
T000021,U0422,cash_out,2286.67,D178,Ikeja,2024-01-01 12:49:00,App,A226,0,19870.4,17583.730000000003,1
T000022,U0294,send,9800.9,D184,Makurdi,2024-02-11 11:35:00,Agent,A163,0,73185.64,63384.74,2
T000023,U0246,send,1849.47,D019,Kano,2024-05-14 17:47:00,USSD,A294,0,65151.45,63301.979999999996,1
T000024,U0701,send,3791.14,D020,Yaba,2024-02-15 02:05:00,USSD,A155,0,29813.18,26022.04,3
T000025,U0556,send,776.37,D150,Ikeja,2024-06-24 11:49:00,Web,A248,0,52746.14,51969.77,2
T000026,U0086,receive,8715.71,D031,Aba,2024-05-18 05:21:00,USSD,A193,0,59408.39,50692.68,0
T000027,U0556,send,6658.55,D105,Portharcout,2024-01-04 16:31:00,App,A073,0,83818.86,77160.31,1
T000028,U0842,send,3776.1,D190,Makurdi,2024-03-12 18:35:00,Agent,A259,0,13357.83,9581.73,0
T000029,U0375,receive,131.21,D044,Ikeja,2024-06-12 17:56:00,USSD,A230,0,97225.63,97094.42,0
T000030,U0446,receive,3281.74,D196,Owerri,2024-05-28 17:36:00,App,A100,0,77146.59,73864.84999999999,2
T000031,U0378,send,1275.73,D195,Kano,2024-05-08 07:39:00,App,A226,0,53962.64,52686.909999999996,1
